shoulder_angle,neck_angle,ear_shoulder_distance,shoulder_width,shoulder_height_diff,ear_height_diff,face_width,face_shoulder_ratio,posture_label
88.88975565677947,32.00538320808349,314.80606247283345,516.0968901282006,10,4,196.04081207748553,0.37985272887187554,good
88.76440025608255,31.47360540594499,312.16513518208706,510.1186136576473,11,3,197.02284131541703,0.38622946906941086,good
88.64680804622031,31.570883730029074,311.49899141894684,508.1417125172859,12,3,196.02295783912658,0.38576435079113547,good
88.64414002389334,31.570883730029074,311.2602882277532,507.1419919509722,12,3,196.02295783912658,0.38652480163401065,good
88.7595372071504,31.411870810115992,311.0395730312232,508.11908053132584,11,3,196.02295783912658,0.38578153301023627,good
88.76197350644827,31.411870810115992,311.0395730312232,509.1188466360286,11,3,197.02284131541703,0.3869879157238694,good
88.87449097149256,31.411870810115992,310.6017843181995,509.09822235006874,10,3,197.02284131541703,0.38700359314933763,good
88.87449097149256,31.411870810115992,311.0395730312232,509.09822235006874,10,4,197.0406049523803,0.3870384855064181,good
88.98101255463207,31.252317055717196,309.8604802839904,506.0800331963315,9,4,197.0406049523803,0.38934672784440655,good
89.09421333988936,31.155594362684017,310.28814468306393,506.06323715519983,8,4,197.0406049523803,0.38935965011019313,good
89.09599960457513,31.155594362684017,310.5281848944484,507.06311244262287,8,4,197.0406049523803,0.3885918737081799,good
89.20898427060581,31.31486833447055,309.9116519433949,507.04832116870284,7,3,196.02295783912658,0.3865962072161298,good
88.86332812240121,31.545747819296555,307.26495429703186,504.0991965873383,10,3,195.0230755577401,0.3868744026533102,good
88.86332812240121,31.483431891208667,306.3824479958256,504.0991965873383,10,3,195.0230755577401,0.3868744026533102,good
88.86106893200473,31.744127518322504,305.5387207507373,503.09939375833085,10,3,194.02319448973105,0.38565579067847605,good
88.86106893200473,31.744127518322504,305.5387207507373,503.09939375833085,10,3,194.02319448973105,0.38565579067847605,good
88.85652350577871,31.42054691831092,304.7727933613587,501.099790460942,10,3,195.0230755577401,0.3891900960053207,good
88.85652350577871,31.257913682667844,304.7549430666377,501.099790460942,10,3,195.0230755577401,0.3891900960053207,good
88.74221092111061,31.257913682667844,305.19221206320924,501.1207439330366,11,3,195.0230755577401,0.3891738227140733,good
88.85652350577871,30.996403696354044,305.6045067497604,501.099790460942,10,3,195.0230755577401,0.3891900960053207,good
85.8615064444512,32.828541791412526,346.2799635557552,540.409104290444,39,1,191.0026177831079,0.3534407845217447,good
85.85384087878745,32.537583662655514,345.73997027821395,539.4117165950328,39,1,192.00260414900626,0.3559481528525151,good
85.66609052296565,32.6309384740745,346.90446969458554,542.5513800553824,41,2,192.01041638411183,0.3539027333494421,good
85.56896068708647,32.6309384740745,347.5809567908491,543.6248706599064,42,2,192.01041638411183,0.35320388515527323,good
85.59325538877646,32.642381193918084,350.5010580969881,546.6159529322209,42,1,192.00260414900626,0.35125686163940795,good
85.59325538877646,32.786723453560604,350.536309598273,546.6159529322209,42,1,192.00260414900626,0.35125686163940795,good
85.59325538877646,32.786723453560604,350.536309598273,546.6159529322209,42,1,192.00260414900626,0.35125686163940795,good
85.59325538877646,32.786723453560604,350.9780875084758,546.6159529322209,42,2,192.01041638411183,0.3512711536392365,good
85.60930467983458,32.694131942046,352.3094853823982,548.6100618836662,42,2,192.01041638411183,0.3499943397407611,good
85.61728565198895,32.837796480318175,352.5800899887768,549.6071324136906,42,2,192.01041638411183,0.34935939703123275,good
85.83280761184737,32.70473357700184,354.5532427554209,550.4552661206903,40,2,192.01041638411183,0.34882110900182123,good
85.73674540806606,32.65357933127316,354.09782095006744,551.5260646605924,41,2,193.01036241611484,0.34995691914378135,good
85.51335644495434,32.642381193918084,352.2953434728216,549.6844549375578,43,3,193.02331465395574,0.35115294405748204,good
85.51335644495434,32.49757156132028,352.2626255858522,549.6844549375578,43,3,193.02331465395574,0.35115294405748204,good
85.51335644495434,32.49757156132028,352.4671685014363,549.6844549375578,43,4,194.0412327316027,0.35300476662314395,good
85.60930467983458,32.3522941411095,351.75808133297454,548.6100618836662,42,4,194.0412327316027,0.35369608801077645,good
85.72124376393319,32.642381193918084,352.5014935461451,549.5316187445451,41,6,194.09276132818556,0.35319671281446574,good
85.82523010808757,32.59020020085327,351.60468866578844,549.4579146759104,40,7,194.12624758130983,0.35330503464639745,good
85.94399726546301,32.786723453560604,352.56557070468824,551.380993506305,39,7,194.12624758130983,0.3520727951589975,good
85.94399726546301,32.786723453560604,353.00656057656363,551.380993506305,39,8,194.164878389476,0.35214285707375537,good
85.9218271305345,32.828541791412526,350.5426086014864,548.3885483851756,39,8,194.164878389476,0.3540644292467957,good
85.91438322002513,32.828541791412526,350.30875834463797,547.3910850571098,39,8,194.164878389476,0.35470961016695884,good
86.09472343868742,33.06731183877345,346.7864096640559,543.2614471872636,37,6,194.09276132818556,0.35727321040928073,good
86.18592516570965,33.06731183877346,345.43826096611036,541.1986696214246,36,5,194.06442229321684,0.3585825930225722,good
86.1646809028667,33.30650318394314,342.82841494218815,538.2053511439663,36,2,193.01036241611484,0.35861843812193145,good
85.90671515536091,33.59344741602761,339.55310746066493,532.3579622772633,38,1,192.00260414900626,0.360664473445045,good
85.57649485741177,33.59344741602761,340.67326876611935,531.583483565846,41,1,192.00260414900626,0.3611899355131551,good
85.35290409340476,33.54452394526247,339.30709756611134,530.7447597480356,43,2,191.01047091717248,0.35989139300753964,good
85.26314872791667,33.73882987974981,339.15050597425454,532.8198569873311,44,1,190.0026315607234,0.35659825561876735,good
